index,PortName,LAT1,LAT2,LAT3,LONG1,LONG2,LONG3,HarborSize,HarborType,LAT,LONG
275,CHARLEVOIX,45,19,N,85,16,W,V,LC,45.31666666666667,-85.26666666666667
276,TRAVERSE CITY,44,46,N,85,37,W,V,CN,44.766666666666666,-85.61666666666666
277,LELAND,45,1,N,85,46,W,V,CB,45.016666666666666,-85.76666666666667
278,FRANKFORT,44,38,N,86,15,W,S,CN,44.63333333333333,-86.25
279,MANISTEE,44,15,N,86,19,W,S,RN,44.25,-86.31666666666666
280,LUDINGTON,43,57,N,86,27,W,S,RN,43.95,-86.45
281,WHITE LAKE,43,23,N,86,21,W,S,RN,43.38333333333333,-86.35
282,MUSKEGON,43,14,N,86,16,W,S,RN,43.233333333333334,-86.26666666666667
283,GRAND HAVEN,43,4,N,86,14,W,S,RN,43.06666666666667,-86.23333333333333
284,HOLLAND,42,47,N,86,8,W,S,RN,42.78333333333333,-86.13333333333334
285,SAUGATUCK,42,40,N,86,12,W,V,RN,42.666666666666664,-86.2
286,SOUTH HAVEN,42,24,N,86,17,W,V,RN,42.4,-86.28333333333333
287,ST JOSEPH,42,7,N,86,29,W,S,RN,42.11666666666667,-86.48333333333333
288,MICHIGAN CITY,41,44,N,86,54,W,S,CB,41.733333333333334,-86.9
289,GARY,41,37,N,87,20,W,M,CB,41.61666666666667,-87.33333333333333
290,BUFFINGTON,41,38,N,87,25,W,M,CB,41.63333333333333,-87.41666666666667
291,INDIANA HARBOR,41,40,N,87,26,W,M,CB,41.666666666666664,-87.43333333333334
292,CALUMET HARBOR,41,44,N,87,31,W,M,CB,41.733333333333334,-87.51666666666667
293,CHICAGO,41,53,N,87,36,W,M,CT,41.88333333333333,-87.6
294,WILMETTE,42,5,N,87,41,W,V,CB,42.083333333333336,-87.68333333333334
295,GREAT LAKES,42,18,N,87,50,W,V,CB,42.3,-87.83333333333333
296,WAUKEGAN,42,22,N,87,49,W,S,CB,42.36666666666667,-87.81666666666666
297,KENOSHA,42,35,N,87,49,W,V,CB,42.583333333333336,-87.81666666666666
298,RACINE,42,44,N,87,47,W,S,CB,42.733333333333334,-87.78333333333333
299,MILWAUKEE,43,2,N,87,53,W,M,RN,43.03333333333333,-87.88333333333334
300,PORT WASHINGTON,43,23,N,87,52,W,S,CB,43.38333333333333,-87.86666666666666
301,SHEBOYGAN,43,45,N,87,42,W,S,RN,43.75,-87.7
302,MANITOWOC,44,6,N,87,39,W,M,RN,44.1,-87.65
303,TWO RIVERS,44,9,N,87,34,W,V,CB,44.15,-87.56666666666666
304,KEWAUNEE,44,28,N,87,30,W,V,CB,44.46666666666667,-87.5
305,ALGOMA,44,36,N,87,26,W,V,RN,44.6,-87.43333333333334
306,STURGEON BAY,44,50,N,87,23,W,S,LC,44.833333333333336,-87.38333333333334
307,GREEN BAY,44,31,N,88,1,W,S,RN,44.516666666666666,-88.01666666666667
308,DEPERE,44,27,N,88,4,W,V,RN,44.45,-88.06666666666666
309,KAUKAUNA,44,17,N,88,16,W,V,RT,44.28333333333333,-88.26666666666667
310,OCONTO,44,54,N,87,50,W,V,RN,44.9,-87.83333333333333
311,MARINETTE,45,5,N,87,36,W,S,RN,45.083333333333336,-87.6
312,MENOMINEE,45,6,N,87,36,W,S,RN,45.1,-87.6
313,ESCANABA,45,46,N,87,3,W,S,CN,45.766666666666666,-87.05
314,GLADSTONE,45,51,N,87,1,W,V,CN,45.85,-87.01666666666667
315,NAHMA,45,50,N,86,40,W,V,CN,45.833333333333336,-86.66666666666667
316,MANISTIQUE,45,57,N,86,15,W,V,CB,45.95,-86.25
317,PORT INLAND,45,58,N,85,52,W,V,CB,45.96666666666667,-85.86666666666666
318,GOULAIS BAY,46,44,N,84,30,W,V,CN,46.733333333333334,-84.5
319,BATCHAWANA BAY,46,55,N,84,36,W,V,CN,46.916666666666664,-84.6
320,GARGANTUA,47,34,N,84,58,W,V,CN,47.56666666666667,-84.96666666666667
